ts,strategy,coin,action,direction,entry_price
2026-05-31T20:58:41.254485+00:00,WILLIAMS_R,TRIA,OPEN,-1,0.03771
2026-05-31T20:58:41.853106+00:00,WILLIAMS_R,KAT,OPEN,-1,0.00721
2026-05-31T20:58:41.854300+00:00,WILLIAMS_R,NAORIS,OPEN,-1,0.03426
2026-05-31T20:58:41.855576+00:00,CCI_EXTREME,BEAT,OPEN,1,1.1683
2026-05-31T20:58:42.351282+00:00,CCI_EXTREME,TRIA,OPEN,-1,0.03771
2026-05-31T20:58:42.551255+00:00,CCI_EXTREME,NAORIS,OPEN,-1,0.03426
2026-05-31T20:58:42.553730+00:00,HEIKIN_ASHI_TREND,BSB,OPEN,-1,0.34169
2026-05-31T20:58:42.555211+00:00,HEIKIN_ASHI_TREND,COLLECT,OPEN,-1,0.05641
2026-05-31T20:58:43.152024+00:00,KELTNER_BREAKOUT,STO,OPEN,1,0.06069
2026-06-01T06:43:50.649210+00:00,CANDLE_HAMMER_LONG,DEXE,OPEN,1,18.6
2026-06-01T06:43:51.349560+00:00,CANDLE_HAMMER_LONG,TA,OPEN,1,0.08244
2026-06-01T06:43:51.448984+00:00,WICKS_LONG_LOWER,UB,CLOSE,SL,0.19643,0.16557,1,-31.740862393728044,-15.710431196864022
2026-06-01T06:43:52.549614+00:00,WICKS_LONG_LOWER,币安人生,OPEN,1,0.65753,0.0,0.0,0,0.007738607050730868,586.0,577.0
2026-06-01T06:43:53.752103+00:00,WICKS_LONG_LOWER,AKE,OPEN,1,0.0003232,0.0,0.0,0,-0.6844056075531606,793979.0,4237663.0
2026-06-01T06:43:54.650232+00:00,WICKS_LONG_LOWER,DEXE,OPEN,1,18.6
2026-06-01T06:43:55.348990+00:00,WICKS_SHORT_UPPER,RESOLV,OPEN,-1,0.02205
2026-06-01T06:43:55.848928+00:00,WICKS_SHORT_UPPER,RIVER,OPEN,-1,6.412
2026-06-01T06:43:56.551031+00:00,VWAP_REVERT,CELO,OPEN,1,0.07438,0.0,0.0,0,-0.2618511150971891,7551.3,12908.8
2026-06-01T06:43:56.849794+00:00,VWAP_REVERT,ALICE,OPEN,1,0.1262
2026-06-01T06:43:57.152827+00:00,VWAP_REVERT,Q,CLOSE,TP,0.019805,0.019201,-1,5.779469830850799,3.0497349154253994
2026-06-01T06:43:57.649707+00:00,VWAP_REVERT,FOLKS,OPEN,-1,1.44
2026-06-01T06:43:57.952694+00:00,VWAP_REVERT,UB,CLOSE,TP,0.19643,0.16557,-1,31.100862393728043,15.710431196864022
2026-06-01T06:43:58.450948+00:00,BB_PURE_REVERT,CELO,CLOSE,TP,0.07591,0.07438,-1,5.566634172045857,2.0155447240152857
2026-06-01T06:43:58.849248+00:00,BB_PURE_REVERT,Q,OPEN,1,0.019201
2026-06-01T06:43:59.249019+00:00,ZSCORE_SLOW_REVERT,CELO,OPEN,1,0.07438
2026-06-01T06:43:59.250619+00:00,MA_CROSS_TREND,MBOX,CLOSE,TP,0.0117,0.01281,1,27.981538461538456,9.487179487179485
2026-06-01T06:44:00.151337+00:00,MTF_MOMENTUM,RIVER,OPEN,-1,6.412,0.0,0.0,0,-0.023932478205341785,878.9,922.0
2026-06-01T06:44:01.251179+00:00,CANDLE_THREE_CROWS_SHORT,RESOLV,OPEN,-1,0.02205
2026-06-01T06:44:02.549190+00:00,CANDLE_HAMMER_SHORT,ENSO,OPEN,-1,0.7006
2026-06-01T06:44:03.752432+00:00,RSI_LOOSE,KAT,OPEN,1,0.00713
2026-06-01T06:44:04.651922+00:00,BB_TIGHT,Q,OPEN,1,0.019201
2026-06-01T06:44:05.352185+00:00,BB_WIDE,CELO,OPEN,1,0.07438
2026-06-01T06:44:05.449156+00:00,BB_WIDE,UB,CLOSE,TP,0.19643,0.16557,-1,31.100862393728043,15.710431196864022
2026-06-01T06:44:07.349044+00:00,BB_LONG_WIN,CELO,OPEN,1,0.07438,0.0,0.0,0,-0.2568516023199954,6342.4,10726.6
2026-06-01T06:44:07.350879+00:00,BB_LONG_WIN,Q,CLOSE,TP,0.019805,0.019201,-1,5.779469830850799,3.0497349154253994
2026-06-01T06:44:07.750379+00:00,BB_LONG_WIN,BSB,OPEN,1,0.30387
2026-06-01T06:44:08.050405+00:00,ZSCORE_TIGHT,CELO,OPEN,1,0.07438
2026-06-01T06:44:08.149755+00:00,ZSCORE_TIGHT,DYDX,CLOSE,TP,0.1862,0.1845,-1,1.1294951664876534,0.9129967776584356
2026-06-01T06:44:08.754081+00:00,ZSCORE_TIGHT,Q,CLOSE,TP,0.019805,0.019201,-1,4.3346023731380985,3.0497349154253994
2026-06-01T06:44:09.349707+00:00,ZSCORE_TIGHT,XNY,OPEN,-1,0.007175
2026-06-01T06:44:09.952928+00:00,DONCHIAN_SHORT_WIN,ARIA,OPEN,-1,0.043
2026-06-01T06:44:10.450877+00:00,VWAP_TIGHT,DYDX,CLOSE,TP,0.1862,0.1845,-1,1.1294951664876534,0.9129967776584356
2026-06-01T06:44:10.453242+00:00,VWAP_TIGHT,CELO,CLOSE,TP,0.07591,0.07438,-1,2.7833170860229286,2.0155447240152857
2026-06-01T06:44:10.650763+00:00,VWAP_TIGHT,1000SATS,CLOSE,TP,1.142e-05,1.134e-05,-1,0.8107880910683134,0.7005253940455423
2026-06-01T06:44:11.449994+00:00,VWAP_TIGHT,Q,OPEN,1,0.019201
2026-06-01T06:44:12.351774+00:00,VWAP_TIGHT,AIOT,OPEN,1,0.05535,0.0,0.0,0,-0.2535802940614856,7818.0,13130.0
2026-06-01T06:44:12.951346+00:00,VWAP_TIGHT,M,OPEN,1,2.8898
2026-06-01T06:44:13.250726+00:00,VWAP_TIGHT,龙虾,CLOSE,SL,0.0064,0.006771,-1,-8.935312499999995,-5.7968749999999964
2026-06-01T06:44:14.949970+00:00,VWAP_WIDE,CELO,OPEN,1,0.07438,0.0,0.0,0,-0.20842254602724217,12163.3,18568.5
2026-06-01T06:44:15.349490+00:00,VWAP_WIDE,UB,CLOSE,TP,0.19643,0.16557,-1,23.325646795296034,15.710431196864022
2026-06-01T06:44:15.350883+00:00,VWAP_WIDE,Q,CLOSE,TP,0.019805,0.019201,-1,4.3346023731380985,3.0497349154253994
2026-06-01T06:44:16.452701+00:00,VWAP_WIDE,M,OPEN,1,2.8898
2026-06-01T06:44:17.249264+00:00,VWAP_WIDE,FOLKS,OPEN,-1,1.44
2026-06-01T06:44:18.249320+00:00,STOCHASTIC_EXTREME,BEAT,OPEN,1,1.1471
2026-06-01T06:44:18.552001+00:00,STOCHASTIC_EXTREME,TAG,OPEN,1,0.0012064
2026-06-01T06:44:19.852226+00:00,STOCHASTIC_EXTREME,TRIA,OPEN,1,0.03751,0.0,0.0,0,0.15767284991568298,17849.0,12987.0
2026-06-01T06:44:21.250086+00:00,WILLIAMS_R,DEXE,OPEN,1,18.6,0.0,0.0,0,-0.2809110629067245,6.63,11.81
2026-06-01T06:44:21.549448+00:00,WILLIAMS_R,TAG,OPEN,1,0.0012064
2026-06-01T06:44:21.849491+00:00,WILLIAMS_R,Q,OPEN,1,0.019201
2026-06-01T06:44:22.149887+00:00,CCI_EXTREME,DEXE,OPEN,1,18.6
2026-06-01T06:44:22.449262+00:00,CCI_EXTREME,TAG,OPEN,1,0.0012064
2026-06-01T06:44:23.149886+00:00,CCI_EXTREME,UB,OPEN,-1,0.16557,0.0,0.0,0,0.030287474332648872,2007.0,1889.0
2026-06-01T06:44:24.751958+00:00,CCI_EXTREME,KAT,OPEN,1,0.00713
2026-06-01T06:44:24.852822+00:00,HEIKIN_ASHI_TREND,BSB,CLOSE,TP,0.34169,0.30387,-1,21.817024788551038,11.068512394275519
2026-06-01T06:44:25.752415+00:00,HEIKIN_ASHI_TREND,AIOT,OPEN,-1,0.05535,0.0,0.0,0,0.4503996854933823,11068.0,4194.0
2026-06-01T06:44:26.750777+00:00,HEIKIN_ASHI_TREND,APR,OPEN,-1,0.17071
2026-06-01T06:44:27.748821+00:00,HEIKIN_ASHI_TREND,BOME,OPEN,-1,0.0005023,0.0,0.0,0,-0.16435435200929072,5254178.0,7320956.0
